SMILES,Crippen_logp,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,natoms,refractivity,HAS_PYR_H,HAS_MULTIPLE_PYR,HAS_FRAGMENTS,HAS_BAD_NITROGEN,MOL_WT,HAS_SULFONYL_HALIDE,HAS_ACID_HALIDES,HAS_PYRADINONE
COCCn1cc(C(=O)O)ccc1=O,0.1929000000000002,1,5,5,68.53,25,49.537300000000016,True,False,False,False,197.19000000000008,False,False,True
CC(C)(C)n1cc(C(=O)O)ccc1=O,1.3015,1,4,1,59.3,27,52.65730000000002,True,False,False,False,195.2180000000001,False,False,True
CCNS(=O)(=O)c1ccc(=O)[nH]c1,-0.3269000000000001,2,3,4,79.03,23,47.92520000000001,True,False,False,False,202.23500000000007,False,False,True
CCc1cc2c(c(=O)[nH]1)CNC2=O,0.1806999999999999,2,2,2,61.96,23,47.61090000000001,True,False,False,False,178.19100000000006,False,False,True
O=c1[nH]cccc1C1=NCCC1,0.9578,1,2,1,45.22,22,47.70070000000001,True,False,False,False,162.19200000000006,False,False,True
CCOc1ccc2c(c1)cc(CCl)c(=O)n2C,2.676000000000001,0,3,5,31.23,31,69.91500000000002,True,False,False,False,251.7130000000001,False,False,True
Cc1cc(=O)n(CC(C)C)cc1N,1.39492,1,3,6,48.02,29,54.68940000000003,True,False,False,False,180.25100000000015,False,False,True
CC(C)(C)OC(=O)Cn1cccc([N+](=O)[O-])c1=O,1.0981999999999998,0,6,3,91.44,32,63.20140000000002,True,False,False,False,254.2420000000001,False,False,True
COc1ccc(OC)c2c(C)cc(=O)[nH]c12,1.85372,1,3,5,51.32,29,62.409700000000015,True,False,False,False,219.2400000000001,False,False,True
C#CCOc1cc(=O)n(C)cc1C(=O)O,0.0954999999999998,1,5,4,68.53,24,52.97030000000001,True,False,False,False,207.1850000000001,False,False,True
O=C(Oc1cccc2c(=O)[nH]ccc12)c1ccccc1,2.747300000000001,1,3,2,59.16,31,75.96920000000001,True,False,False,False,265.2679999999998,False,False,True
COCCCn1c(C)cc(O)cc1=O,0.89882,1,4,7,51.46,29,53.59680000000003,True,False,False,False,197.23400000000012,False,False,True
CC1(C)CCc2cc(C#N)c(=O)[nH]c2C1,1.76148,1,2,2,56.65,29,57.58370000000002,True,False,False,False,202.25700000000012,False,False,True
Cn1c2c(cc(C(=O)O)c1=O)CCC(C)(C)C2,1.5984,1,4,4,59.3,34,64.44830000000002,True,False,False,False,235.2830000000001,False,False,True
COC(CNCc1cc(=O)[nH]c2ccccc12)OC,1.2366,2,4,8,63.349999999999994,37,74.08140000000003,True,False,False,False,262.30899999999997,False,False,True
CC1(C)Cc2[nH]c(=O)c(C#N)cc2CO1,1.09788,1,3,2,65.88,27,54.34970000000002,True,False,False,False,204.22900000000007,False,False,True
COC(=O)C(C)(O)Cn1ccccc1=O,-0.2277000000000004,1,5,6,68.53,28,53.34180000000003,True,False,False,False,211.2170000000001,False,False,True
Cc1cc(NCc2ccccc2)cc(=O)n1C,2.30582,1,3,5,34.03,33,70.18870000000003,True,False,False,False,228.29500000000013,False,False,True
Nc1ccc(=O)n(CC2CC2)c1,0.8405,1,3,3,48.02,24,47.838400000000014,True,False,False,False,164.20800000000008,False,False,True
O=c1[nH]ccc2ccc([N+](=O)[O-])cc12,1.4363,1,3,1,76.0,20,51.22310000000002,True,False,False,False,190.158,False,False,True
Nc1c(O)ccc2[nH]c(=O)ccc12,0.8159,3,3,2,79.11,21,50.645900000000005,True,False,False,False,176.17500000000007,False,False,True
