SMILES,Crippen_logp,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,natoms,refractivity,HAS_PYR_H,HAS_MULTIPLE_PYR,HAS_FRAGMENTS,HAS_BAD_NITROGEN,MOL_WT,HAS_SULFONYL_HALIDE,HAS_ACID_HALIDES,HAS_PYRADINONE,INCHI,INCHI_KEY,CID,VENDORS,Combi-Blocks_link,Sigma-Aldrich_link,TCI (Tokyo Chemical Industry)_link,Thermo Fisher Scientific_link,"VWR, Part of Avantor_link",Ambeed_link,Name,Etot (Eh),C6AA_DISPERSION,C8AA_DISPERSION,Molecular Polarizability,Dipole from Density,HOMO/LUMO Gap (eV),Repulsion Energy (Eh),Isotropic ES (Eh),AnisotropicES (Eh),AnisotropicXC (Eh),Dispersion Energy (Eh),HOMO Energy (Eh),LUMO Energy (Eh),NFOD,Molecular Dipole,HAS_5MEMBERED_HETEROCYCLE_OR_QUINOLINE
COc1cccc(Cn2cccc2)n1,1.94,0,3,4,27.05,26,54.323,True,False,False,False,188.23,False,False,False,"InChI=1S/C11H12N2O/c1-14-11-6-4-5-10(12-11)9-13-7-2-3-8-13/h2-8H,9H2,1H3",FQJLICWPZNPWND-UHFFFAOYSA-N,63986931,['Ambeed'],NONE,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/1341376-97-3.html,FQJLICWPZNPWND-UHFFFAOYSA-N,-39.58783145,7998.625038,189352.668,140.780238,2.113,3.222983505,0.586053872,0.027049748,0.00376434,0.022210836,-0.02348725,-0.364505,-0.2460625,0.1533,1.709,True
CC(=O)c1cccc2cccnc12,2.4374,0,2,2,29.96,22,51.7475,True,False,False,False,171.199,False,False,False,"InChI=1S/C11H9NO/c1-8(13)10-6-2-4-9-5-3-7-12-11(9)10/h2-7H,1H3",SHVCKCOMBWIPBE-UHFFFAOYSA-N,12208789,"['Ambeed', 'Combi-Blocks']",https://www.combi-blocks.com/cgi-bin/find.cgi?HA-0432,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/56234-20-9.html,SHVCKCOMBWIPBE-UHFFFAOYSA-N,-35.11390157,6490.606595,159806.0819,128.070501,4.126,1.752348166,0.591418,0.030731079,0.006078759,0.020179575,-0.021970813,-0.3608776,-0.29648,0.5446,4.11,True
[2H]C([2H])([2H])N1CCCC1c1cccnc1,1.8483,0,2,2,16.13,26,48.842,True,False,False,False,165.2543053,False,False,False,"InChI=1S/C10H14N2/c1-12-7-3-5-10(12)9-4-2-6-11-8-9/h2,4,6,8,10H,3,5,7H2,1H3/i1D3",SNICXCGAKADSCV-FIBGUPNXSA-N,10630878,['Sigma-Aldrich'],NONE,https://www.sigmaaldrich.com/catalog/product/aldrich/489077?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,NONE,NONE,NONE,NONE,SNICXCGAKADSCV-FIBGUPNXSA-N,-34.39856985,6670.854037,152018.0546,125.929654,2.699,2.999677438,0.528578617,0.013039029,0.007676846,0.027119438,-0.023599732,-0.3487523,-0.2385162,0.1815,3.326,True
CC(O)Cc1ccc2ccccc2n1,2.1581,1,2,4,33.12,27,57.1278,True,False,False,False,187.242,False,False,False,"InChI=1S/C12H13NO/c1-9(14)8-11-7-6-10-4-2-3-5-12(10)13-11/h2-7,9,14H,8H2,1H3",DKGXPEAAAIRCLU-UHFFFAOYSA-N,19432910,['Ambeed'],NONE,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/156538-90-8.html,DKGXPEAAAIRCLU-UHFFFAOYSA-N,-39.31329779,8253.67575,196852.1113,142.611239,1.112,2.561018337,0.648537251,0.034910786,0.006064862,0.021699581,-0.025297134,-0.359612,-0.2654963,0.2458,1.706,True
OCc1nccc2ccccc12,1.7271,1,2,2,33.12,21,47.6658,True,False,False,False,159.188,False,False,False,"InChI=1S/C10H9NO/c12-7-10-9-4-2-1-3-8(9)5-6-11-10/h1-6,12H,7H2",HQABEHZXAJHCLV-UHFFFAOYSA-N,2776247,"['Sigma-Aldrich', 'Combi-Blocks', 'Ambeed']",https://www.combi-blocks.com/cgi-bin/find.cgi?QB-2325,https://www.sigmaaldrich.com/catalog/product/aldrich/cds017021?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,NONE,NONE,NONE,https://www.ambeed.com/products/27311-63-3.html,HQABEHZXAJHCLV-UHFFFAOYSA-N,-32.96834268,5677.837182,138280.9486,119.664233,2.917,2.493872125,0.537329095,0.030140904,0.007210526,0.017579203,-0.020253087,-0.3625391,-0.270891,0.2649,2.892,True
Cc1ccc2cc(C(=O)O)cnc2c1,2.24142,1,3,2,50.19,23,53.4393,True,False,False,False,187.198,False,False,False,"InChI=1S/C11H9NO2/c1-7-2-3-8-5-9(11(13)14)6-12-10(8)4-7/h2-6H,1H3,(H,13,14)",QJHXTZODJCAGBE-UHFFFAOYSA-N,17040043,"['Combi-Blocks', 'Sigma-Aldrich']",https://www.combi-blocks.com/cgi-bin/find.cgi?QI-7476,https://www.sigmaaldrich.com/catalog/product/aldrich/cds008072?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,NONE,NONE,NONE,NONE,QJHXTZODJCAGBE-UHFFFAOYSA-N,-39.21627577,7065.037439,173057.7927,132.569385,1.613,2.305425906,0.60122524,0.057113478,0.001030562,0.016925785,-0.02233227,-0.3778508,-0.2931279,0.3461,2.416,True
Nc1ccc2c(n1)[nH]c1ccccc12,2.2983,2,2,1,54.7,23,58.0121,True,False,False,False,183.214,False,False,False,"InChI=1S/C11H9N3/c12-10-6-5-8-7-3-1-2-4-9(7)13-11(8)14-10/h1-6H,(H3,12,13,14)",FJTNLJLPLJDTRM-UHFFFAOYSA-N,62805,"['TCI (Tokyo Chemical Industry)', 'Sigma-Aldrich', 'Ambeed']",NONE,https://www.sigmaaldrich.com/catalog/product/sigma/sml1723?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,https://www.tcichemicals.com/p/A3209,NONE,NONE,https://www.ambeed.com/products/26148-68-5.html,FJTNLJLPLJDTRM-UHFFFAOYSA-N,-36.94469047,7509.013473,185483.625,138.818564,2.086,3.172347602,0.642398583,0.024800914,0.008828749,0.021878019,-0.023946777,-0.3557005,-0.2391189,0.1692,2.087,True
COC(=O)c1c[nH]c2cnccc12,1.3495,1,3,2,54.98,21,47.4332,True,False,False,False,176.175,False,False,False,"InChI=1S/C9H8N2O2/c1-13-9(12)7-4-11-8-5-10-3-2-6(7)8/h2-5,11H,1H3",WLVQYRDGALHYAR-UHFFFAOYSA-N,54759246,"['Combi-Blocks', 'Ambeed']",https://www.combi-blocks.com/cgi-bin/find.cgi?QB-8348,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/108128-12-7.html,WLVQYRDGALHYAR-UHFFFAOYSA-N,-37.34856403,5841.596551,140107.1911,119.562153,5.005,2.853231003,0.49829425,0.056459647,0.002254475,0.014548985,-0.019387159,-0.3730598,-0.2682055,0.1926,4.965,True
c1cncc(-c2n[nH]c3ccccc23)c1,2.6249,1,2,1,41.57,24,59.3247,True,False,False,False,195.225,False,False,False,"InChI=1S/C12H9N3/c1-2-6-11-10(5-1)12(15-14-11)9-4-3-7-13-8-9/h1-8H,(H,14,15)",GDWHWHNSNXLWPZ-UHFFFAOYSA-N,68239103,['Combi-Blocks'],https://www.combi-blocks.com/cgi-bin/find.cgi?JQ-0951,NONE,NONE,NONE,NONE,NONE,GDWHWHNSNXLWPZ-UHFFFAOYSA-N,-39.03854784,8498.633804,211146.4727,147.90268,2.881,2.739234905,0.689732926,0.015051998,0.005212473,0.031200554,-0.025747845,-0.366609,-0.2659439,0.2591,2.988,True
CN1CCC[C@H]1c1cccnc1,1.8483,0,2,2,16.13,26,48.842,True,False,False,False,162.236,False,False,False,"InChI=1S/C10H14N2/c1-12-7-3-5-10(12)9-4-2-6-11-8-9/h2,4,6,8,10H,3,5,7H2,1H3/t10-/m0/s1",SNICXCGAKADSCV-JTQLQIEISA-N,89594,"['Sigma-Aldrich', 'Sigma-Aldrich', 'Sigma-Aldrich', 'Sigma-Aldrich', 'Sigma-Aldrich', 'VWR, Part of Avantor', 'VWR, Part of Avantor', 'VWR, Part of Avantor', 'VWR, Part of Avantor', 'VWR, Part of Avantor', 'TCI (Tokyo Chemical Industry)']",NONE,https://www.sigmaaldrich.com/catalog/product/sial/36733?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,http://www.tcichemicals.com/eshop/en/us/commodity/N0079/index.html,NONE,https://us.vwr.com/store/product/7516631/s-nicotine,NONE,SNICXCGAKADSCV-JTQLQIEISA-N,-34.39919805,6673.676708,152037.4294,125.954551,2.163,3.164359813,0.498692691,0.0130793,0.007968041,0.027393957,-0.023667153,-0.3547462,-0.2384581,0.1632,3.037,True
OCC#Cc1cnc2ccccc2c1,1.5786,1,2,1,33.12,23,55.7068,True,False,False,False,183.21,False,False,False,"InChI=1S/C12H9NO/c14-7-3-4-10-8-11-5-1-2-6-12(11)13-9-10/h1-2,5-6,8-9,14H,7H2",BATAIOGYFWEXQV-UHFFFAOYSA-N,650142,['Combi-Blocks'],https://www.combi-blocks.com/cgi-bin/find.cgi?HE-0900,NONE,NONE,NONE,NONE,NONE,BATAIOGYFWEXQV-UHFFFAOYSA-N,-37.1987955,7459.140977,186302.2668,137.462541,3.112,2.425571895,0.672251013,0.031493335,0.005563519,0.022805321,-0.021391172,-0.3706283,-0.2814902,0.3068,2.878,True
