SMILES,Crippen_logp,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,natoms,refractivity,HAS_PYR_H,HAS_MULTIPLE_PYR
COc1nccc(C=O)c1-c1cccnc1,1.9647,0,4,4,52.08,26,59.40750000000003,True,True
OCc1cc(-c2cccnc2)ncc1Cl,2.2893,1,3,3,46.010000000000005,24,58.400800000000025,True,True
O=[N+]([O-])c1cnc(-c2ccncc2)cc1-c1ccncc1,3.1138000000000012,0,5,3,81.81,31,77.35340000000002,True,True
COc1ccnc(-c2nccc(OC)c2OC)c1OC,2.178,0,6,9,62.70000000000002,36,73.67600000000004,True,True
Oc1ccc(-c2ccncc2)cc1-c1ccncc1,3.516200000000002,1,3,3,46.010000000000005,31,74.56880000000002,True,True
O=C(O)c1ccc(Cl)nc1-c1cccnc1,2.4952000000000005,1,4,2,63.08,23,59.437300000000015,True,True
O=Cc1ccnc(-c2ccncc2)c1-c1ccncc1,3.0181000000000013,0,4,3,55.74,31,76.08650000000003,True,True
ON(CCc1ccncc1)CCc1ccncc1,1.953,1,4,7,49.25,35,69.24150000000003,True,True
COc1ccnc2nc(C(OC)OC)ccc12,1.9298,0,5,7,53.47000000000001,31,62.84900000000003,True,True
NC(=O)c1cc(-c2ccccn2)nc2ccccc12,2.3957000000000006,1,3,2,68.87,30,73.49190000000003,True,True
CCOC(=O)c1ccc(C)nc1-c1cccnc1,2.6287200000000004,0,4,5,52.08,32,68.16150000000003,True,True
OCc1cncc(-c2cccc(Br)n2)c1,2.3984000000000005,1,3,3,46.010000000000005,24,61.09080000000002,True,True
Nc1ncc(C(=O)O)c2nccc(C(F)(F)F)c12,1.9290000000000005,2,5,2,89.1,24,55.91169999999999,True,True
NC(=O)c1cncc(-c2ccccn2)c1,1.2425,1,3,2,68.87,24,55.985900000000015,True,True
c1ccc2nc(-c3ccc4ccccc4n3)ccc2c1,4.450000000000003,0,2,1,25.78,32,82.48000000000003,True,True
Clc1cccc(-c2ccccn2)n1,2.7970000000000015,0,2,1,25.78,20,52.478000000000016,True,True
N#Cc1cccnc1NCc1cccnc1,1.96038,1,4,3,61.6,26,60.515700000000024,True,True
NCc1ccc(-c2cccnc2)nc1,1.6022999999999998,1,3,3,51.8,25,55.359400000000015,True,True
Oc1cccc2ccc(Nc3ccccn3)nc12,3.0790000000000006,2,4,3,58.04,29,70.92750000000002,True,True
Nc1nc(-c2ccncc2)ccc1C(=O)O,1.424,2,5,3,89.10000000000001,25,58.839700000000015,True,True
N#CCc1cnc(-c2ccncc2)c(Cl)c1,2.863080000000001,0,3,2,49.57,24,61.79500000000002,True,True
O=C(O)Cc1ccc(-c2cccnc2)c(-c2cccnc2)c1,3.437700000000002,1,4,4,63.08,36,84.24380000000004,True,True
CSC1c2c(cc(=O)[nH]c2-c2ccncc2)C(=O)N1C,1.8841,1,4,4,66.06,33,78.64320000000002,True,True
Oc1ncccc1-c1ccncc1,1.8491999999999995,1,3,2,46.010000000000005,21,49.132800000000024,True,True
O=C(O)c1c[nH]c2ccncc2c1=O,0.6212999999999999,2,4,1,83.04999999999998,20,49.323,True,True
Nc1cc(-c2ccncc2)cnc1-c1ccncc1,2.7878000000000007,1,4,3,64.69,31,75.11140000000002,True,True
N#Cc1ccc(-c2cccnc2)nc1N1CCCC1,2.6154800000000007,0,4,2,52.81,33,73.63000000000002,True,True
Nc1cc(-c2cccnc2)nc(-c2cccnc2)c1,2.7878000000000007,1,4,3,64.69,31,75.11140000000003,True,True
N#Cc1ncc(C(F)(F)F)cc1Oc1cccnc1,3.1593800000000014,0,4,2,58.8,25,58.26500000000002,True,True
Cc1ccc2ccc(C)nc2n1,2.24664,0,2,2,25.78,22,49.012000000000015,True,True
O=C(O)c1ccc(-c2cccnc2)c(F)n1,1.9809,1,4,2,63.08,23,54.38530000000001,True,True
Clc1ccc(-c2cccnc2)nc1-c1cccnc1,3.859000000000002,0,3,2,38.67,29,75.70900000000002,True,True
O=Cc1cc(-c2ccccn2)ccn1,1.9560999999999995,0,3,2,42.85,22,52.85550000000002,True,True
Cc1ccncc1-c1cccnc1,2.45202,0,2,2,25.78,23,52.20500000000003,True,True
CCc1cc(-c2cncc(C(=O)O)c2)c(C)nc1OC,2.7212200000000006,1,5,7,72.31,36,75.09430000000003,True,True
Nc1cccc(Nc2ncc(C(F)(F)F)cc2Cl)n1,3.474600000000001,2,4,3,63.83,27,66.1811,True,True
O=[N+]([O-])c1ccc(-c2cccnc2)nc1,2.051799999999999,0,4,2,68.92,22,54.12240000000002,True,True
Cc1nc(N)c(-c2cccnc2)cc1-c1cccnc1,3.0962200000000006,1,4,4,64.69,34,79.84840000000003,True,True
CCOc1nc(-c2cccnc2)ccc1C(N)=O,1.6412,1,4,5,78.1,31,67.15490000000003,True,True
NC(=O)c1cc2cccnc2[nH]c1=O,0.0219999999999998,2,3,1,88.84,21,50.881600000000006,True,True
N#Cc1cccnc1NCc1ccnc(N2CCOCC2)c1,1.79698,1,6,4,74.07000000000001,39,83.54770000000003,True,True
ClCc1ccc(-c2cccnc2)cc1-c1ccncc1,4.549400000000003,0,2,3,25.78,33,82.46100000000001,True,True
O=Cc1ccc2ccc3ncccc3c2n1,2.5955000000000004,0,3,1,42.85,24,62.43150000000003,True,True
COc1cncc(C#Cc2ccccn2)c1,1.885,0,3,2,35.010000000000005,26,61.00600000000003,True,True
N#Cc1c(N)n(CCc2ccccc2)c(=O)c2cccnc12,2.09308,1,5,4,84.7,36,85.27640000000002,True,True
Cc1ccnc(-c2cccnc2)c1Cl,3.1054200000000014,0,2,2,25.78,23,57.215000000000025,True,True
O=C(O)c1ccnc(F)c1-c1cccnc1,1.9809,1,4,2,63.08,23,54.385300000000015,True,True
Nn1c(-c2cccnc2)nnc1-c1cccnc1,1.1159,1,6,3,82.51,28,66.63440000000001,True,True
O=C(O)c1ccc(-c2cccnc2)nc1Cl,2.4952000000000005,1,4,2,63.08,23,59.437300000000015,True,True
Oc1c(Cl)cncc1-c1cccnc1,2.5026,1,3,2,46.010000000000005,21,54.14280000000002,True,True
Cc1ccc(Oc2ncc(Cl)cc2C(=O)O)cn1,2.9289200000000006,1,5,4,72.31,27,65.25430000000001,True,True
O=C(NCc1ccncc1)c1ccncc1,1.4066,1,3,3,54.88,27,59.644200000000026,True,True
Ic1ccncc1-c1ccncc1,2.7482000000000006,0,2,1,25.78,20,60.18500000000002,True,True
Cc1cnc(Cl)c(-c2cccnc2)c1,3.1054200000000014,0,2,2,25.78,23,57.215000000000025,True,True
O=C(O)c1cc2cnccc2nc1-c1ccccc1,2.995000000000001,1,4,2,63.08,29,71.93330000000002,True,True
Fc1cnccc1-c1ccncc1,2.2827,0,2,1,25.78,20,47.42600000000002,True,True
N#Cc1cncc(-c2ccccn2)c1,2.0152799999999997,0,3,1,49.57,21,52.18300000000002,True,True
Oc1cccnc1-c1cccnc1,1.8491999999999995,1,3,2,46.010000000000005,21,49.13280000000002,True,True
NCc1cccnc1Oc1cccnc1,1.7275999999999998,1,4,4,61.03,26,56.43940000000002,True,True
COC(=O)c1ncc(-c2ccncc2)cc1-c1ccncc1,2.9922000000000013,0,5,4,64.97,35,82.03850000000001,True,True
OCc1c(F)cncc1-c1cccnc1,1.7749999999999997,1,3,3,46.010000000000005,24,53.348800000000026,True,True
OCc1cc(Cl)nc(-c2ccncc2)c1,2.2893,1,3,3,46.010000000000005,24,58.400800000000025,True,True
Fc1ccc(CBr)nc1-c1ccncc1,3.1776000000000018,0,2,2,25.78,23,60.057000000000016,True,True
Cc1ccc2cc3ccc(C)nc3cc2n1,3.399840000000002,0,2,2,25.78,28,66.51800000000001,True,True
Clc1ccnc(-c2cccnc2)c1,2.7970000000000006,0,2,1,25.78,20,52.47800000000002,True,True
O=[N+]([O-])c1c(-c2ccncc2)cncc1-c1ccncc1,3.1138000000000012,0,5,3,81.81,31,77.35340000000002,True,True
Cn1c(-c2ccccn2)cccc1=O,1.4472999999999998,0,3,2,34.89,24,54.91400000000002,True,True
C(=Cc1ccc(C=Cc2ccncc2)cc1)c1ccncc1,4.817400000000004,0,2,4,25.78,38,92.77200000000002,True,True
O=C(Nc1ccc(Br)cn1)c1ccncc1,2.4913999999999996,1,3,2,54.88,24,64.12720000000002,True,True
Cl.O.c1cnc2c(c1)ccc1cccnc12,2.3801000000000005,0,2,0,57.28,27,67.90580000000001,True,True
O=C(O)c1c(-c2ccncc2)cccc1-c1ccncc1,3.5088000000000017,1,4,3,63.08,33,79.86330000000004,True,True
COc1nc(C=O)ccc1-c1ccncc1,1.9647,0,4,4,52.08,26,59.40750000000003,True,True
Nc1cc(-c2cccnc2)cnc1F,1.8649,1,3,2,51.8,22,51.83840000000001,True,True
O=C(/C=C/c1cccnc1)/C=C/c1cccnc1,2.7723000000000004,0,3,4,42.85,30,71.54900000000004,True,True
OCc1ccc(Cl)nc1-c1ccncc1,2.2893,1,3,3,46.010000000000005,24,58.400800000000025,True,True
O=C(O)c1nc(O)ccc1-c1ccncc1,1.5473999999999997,2,5,3,83.31,24,56.092100000000016,True,True
O=C(O)c1nc2ccccc2c2ncccc12,2.4812000000000003,1,4,1,63.08,25,64.00330000000001,True,True
Cc1ncccc1-c1ccncc1,2.45202,0,2,2,25.78,23,52.20500000000003,True,True
Cc1cnc(-c2cccnc2)c(I)c1,3.0566200000000014,0,2,2,25.78,23,64.92200000000001,True,True
Nc1ccnc(Oc2ccncc2)c1,1.8511,1,4,3,61.03,23,52.96040000000002,True,True
OCc1cc(-c2ccncc2)cnc1Cl,2.2893,1,3,3,46.010000000000005,24,58.400800000000025,True,True
N#CCc1ncc(-c2ccncc2)cc1Cl,2.863080000000001,0,3,2,49.57,24,61.79500000000002,True,True
N#Cc1cc(Br)c(=O)[nH]c1-c1cccnc1,2.0710799999999994,1,3,1,69.53999999999999,22,62.70870000000001,True,True
O=Cc1nc2ccccc2c2ncccc12,2.5955000000000004,0,3,1,42.85,24,62.43150000000003,True,True
Clc1ccncc1-c1cnccc1Cl,3.450400000000001,0,2,1,25.78,20,57.48800000000002,True,True
OCc1cc(F)cnc1-c1cccnc1,1.7749999999999997,1,3,3,46.010000000000005,24,53.348800000000026,True,True
N#CCc1nc(-c2cccnc2)ccc1Cl,2.863080000000001,0,3,2,49.57,24,61.79500000000003,True,True
Cc1cc(O)ncc1-c1ccncc1,2.1576199999999996,1,3,3,46.010000000000005,24,53.869800000000026,True,True
COC(=O)c1ccc(-c2cccnc2)c(Cl)n1,2.583600000000001,0,4,3,52.08,26,63.817500000000024,True,True
