Name,Etot (Eh),C6AA_DISPERSION,C8AA_DISPERSION,Molecular Polarizability,Dipole from Density,HOMO/LUMO Gap (eV),Repulsion Energy (Eh),Isotropic ES (Eh),AnisotropicES (Eh),AnisotropicXC (Eh),Dispersion Energy (Eh),HOMO Energy (Eh),LUMO Energy (Eh),NFOD,Molecular Dipole
OGWSSCLLENRQNX-UHFFFAOYSA-N,-35.03990903,6231.566069,143238.4866,121.106484,2.811,3.388661704,0.495877296,0.024544881,0.006354491,0.019602075,-0.02023066,-0.3652962,-0.2407652,0.1005,2.962
BRDJELCDPZJVIF-UHFFFAOYSA-N,-36.4204957,6608.194716,159139.3913,128.538697,0.622,2.877743394,0.566821412,0.042436973,0.007593375,0.018229239,-0.022252366,-0.3648056,-0.2590505,0.2265,0.798
LTWJYKGQIACFMN-UHFFFAOYSA-N,-40.10054713,6393.82795,157029.3187,125.973467,2.812,2.371446497,0.526071337,0.061425898,0.002671506,0.013138261,-0.01948214,-0.3830256,-0.2958765,0.3229,3.624
QIYKCTPMBPDDIK-UHFFFAOYSA-N,-38.89566125,6540.933026,148898.9457,123.767693,4.815,2.908704569,0.47620004,0.03142802,0.007362873,0.02056424,-0.022754172,-0.3562355,-0.2493426,0.1738,5.611
ILLFDHRDCAUCTG-UHFFFAOYSA-N,-36.42721247,6626.601596,159044.3979,128.782163,1.172,2.676267739,0.564423386,0.030793351,0.007006836,0.018585537,-0.022208314,-0.3478149,-0.2494639,0.2354,1.189
FMBDGKGJYMSJKF-UHFFFAOYSA-N,-38.27571654,7975.281203,193895.481,142.318642,0.959,3.55813024,0.627745236,0.023966033,0.002596624,0.023193433,-0.022276166,-0.3752327,-0.2444738,0.1189,0.575
OMMKWOVBOKXXQU-UHFFFAOYSA-N,-41.33544352,8139.397213,201462.3844,143.670033,1.591,2.392268022,0.634051379,0.055655992,6.13E-06,0.020010047,-0.023709866,-0.379812,-0.2918977,0.335,0.991
ZJWDUXSEAHEJED-UHFFFAOYSA-N,-42.56205832,7949.207276,181418.3594,136.624995,3.893,3.060056052,0.519481088,0.070132662,0.00443246,0.018466842,-0.024999505,-0.3713536,-0.2588986,0.1818,5.005
CJLQSWWRTYKQQH-UHFFFAOYSA-N,-38.46491698,7362.196029,167909.4249,132.401306,4.99,2.727523081,0.514219944,0.039923571,0.005809436,0.021416325,-0.02325693,-0.3717239,-0.2714893,0.2736,6.98
GKHOKBZTVDVWTP-UHFFFAOYSA-N,-39.21270207,7988.141429,187601.7127,140.250243,4.687,3.074088444,0.57881668,0.027663905,0.007055505,0.031138355,-0.024250281,-0.3593303,-0.2463597,0.2079,4.634
YRONTRGVBHTTPM-UHFFFAOYSA-N,-35.5348404,7306.029903,175111.0026,135.295253,0.833,2.630387271,0.610415381,0.019871442,0.008577603,0.022953247,-0.024162272,-0.346319,-0.2496541,0.2513,0.856
OFSMTNYFYSPXMY-UHFFFAOYSA-N,-38.18822838,7537.605815,171974.4858,132.892016,1.311,3.281771847,0.532868984,0.027656283,0.006857528,0.020731061,-0.026881123,-0.368071,-0.2474681,0.1232,1.697
MDKJAMMSIZLRBH-UHFFFAOYSA-N,-40.7962566,9945.195592,237812.6325,158.500106,2.852,2.85282567,0.702795075,0.014942807,0.008131909,0.032291003,-0.027412707,-0.3630878,-0.2582484,0.2397,4.154
FQSZUOSKHMTGMC-UHFFFAOYSA-N,-32.36626102,6039.934517,146307.3233,123.781851,2.387,2.790075759,0.560246725,0.020248651,0.006988274,0.021372,-0.020936664,-0.3568555,-0.2543221,0.2263,2.262
RPJQHJLOMYJUHA-UHFFFAOYSA-N,-36.23565997,5431.092366,125036.8314,113.787513,4.009,3.242823253,0.435259668,0.062385713,0.001292267,0.015206595,-0.016787888,-0.3713611,-0.2521896,0.1201,4.495
