SMILES,Crippen_logp,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,natoms,refractivity,HAS_PYR_H
Cc1nc(N)c(C#N)c(-c2ccccc2Cl)c1C,3.4727200000000016,1,3,4,62.7,30,73.28440000000003,False
COc1ccc2nc3c(c(Cl)c2c1)CCC3,3.385500000000002,0,2,2,22.12,28,65.33000000000003,False
CSc1c(-c2ccccc2)nc2ccccc2c1C(=O)O,4.321900000000003,1,4,4,50.19,34,85.91930000000006,False
COc1c(C)nc(Br)c(O)c1C,2.17514,1,3,5,42.35,22,49.62780000000002,False
O=c1c2c([nH]c3ccc(Oc4ccccc4)cc13)CCCC2,4.199200000000002,1,2,2,42.09,39,87.72670000000004,False
Cc1nc(S(C)(=O)=O)c(C#N)c2nc[nH]c(=O)c12,-0.0982999999999997,1,6,3,116.57,26,62.7205,False
Cc1nc(N)c(C(N)=O)c(-c2ccccc2)c1C,2.04654,2,3,5,82.0,33,72.07730000000002,False
O=C(O)c1c(-c2ccccc2)nc2cc(Cl)ccc2c1O,3.959000000000002,2,4,3,70.42,31,80.81310000000002,False
Cc1c(CCC#N)c(Cl)n2c(nc3ccccc32)c1C#N,3.777180000000002,0,4,3,64.88,32,81.09400000000004,False
COc1c2[nH]c3occc3c(OC)c-2ccc1=O,2.243099999999999,1,4,4,64.46000000000001,29,66.56070000000003,False
Cc1[nH]c(=O)c2ccccc2c1Br,2.5990200000000003,1,1,1,32.86,21,57.00570000000002,False
Cc1nc2sc(C)c(C)c2c(N)c1C(=O)O,2.50196,2,5,5,76.21,28,65.20270000000001,False
CCc1nc(N)c(C#N)c(-c2ccccc2)c1C,3.0733000000000015,1,3,5,62.7,33,72.91540000000003,False
Cc1cc(Br)cc2c(O)c3c(nc12)CCC3,3.500020000000001,1,2,2,33.120000000000005,28,67.86980000000001,False
N#Cc1c2c(c(C(F)(F)F)[nH]c1=S)CCCC2,3.5134700000000016,1,2,0,39.58,26,57.985700000000016,False
CCc1c(C)nc2c(C)cccc2c1SCCC(=O)O,3.9808400000000024,1,4,8,50.19,39,83.57180000000004,False
Cc1nn(-c2ccccc2)c2c1c(=O)n(C)c1ccccc21,3.1858200000000014,0,4,3,39.82,37,88.55400000000003,False
O=c1[nH]c2ccccc2c(O)c1[N+](=O)[O-],1.1418999999999997,2,4,2,96.23,21,52.8879,False
COC(=O)Cc1c(C(F)(F)F)nc2ccccc2c1C,3.2775200000000018,0,3,4,39.19,32,67.20200000000003,False
COc1cc(OC)c2nc(Cl)c(Cl)c(Cl)c2c1,4.212200000000001,0,3,4,31.35,25,69.87700000000001,False
ClCCCNc1c2c(nc3ccccc13)CCCC2,4.1544000000000025,1,2,4,24.92,38,82.21170000000005,False
Cc1c(O)c([N+](=O)[O-])c2n(c1=O)CCO2,0.1629199999999995,1,6,3,94.6,23,49.25320000000002,False
CCOC(=O)c1c(N)c(C=O)nc(Cl)c1C#N,1.17808,1,6,5,106.07,25,59.7184,False
Cc1c(C2CC2)nc2ccccc2c1C(=O)O,3.1188200000000013,1,3,3,50.19,30,65.41430000000003,False
Cc1c(Cl)nc(Br)c2ccccc12,3.959120000000002,0,1,1,12.89,20,59.190000000000026,False
Cc1ccccc1-c1[nH]c(=S)c(C#N)c2c1CCC2,4.079990000000002,1,2,2,39.58,33,78.53970000000002,False
COC(=O)c1c(C)c2c([nH]c1=O)CC(C)(C)CC2=O,1.62502,1,4,5,76.23,36,69.57170000000002,False
CCOC(=O)c1c(O)nc(C)c([N+](=O)[O-])c1O,0.8861199999999998,2,7,7,122.79,27,54.91450000000001,False
Cc1ccn(-c2c(C)nc3ccccc3c2C(=O)O)n1,2.7355400000000003,1,5,4,68.01,33,75.29830000000003,False
CCCc1c(O)nc2ccc(Cl)cc2c1O,3.2519000000000013,2,3,5,53.35000000000001,28,64.07760000000003,False
O=C(O)c1c2c(nc3ccccc13)CCCCCC2,3.5920000000000023,1,3,1,50.19,36,74.57830000000003,False
CCn1c(=O)c(-c2cc(=O)[nH][nH]2)c(O)c2ccccc21,1.4103999999999997,3,4,4,90.88,33,75.95420000000001,False
Cc1nc2c(F)cc(F)cc2c(Cl)c1C,3.783240000000001,0,1,2,12.89,23,56.14300000000002,False
Cc1c(-c2ccccc2)nc2c(Cl)cccc2c1C(=O)O,4.561820000000003,1,3,3,50.19,33,83.88530000000006,False
Cc1c(Br)c(O)nc2ccccc12,3.0113200000000004,1,2,2,33.120000000000005,21,55.84480000000001,False
COC(=O)c1cccc2c1nc(Cl)c1ncsc12,3.2845000000000013,0,5,2,52.08,25,71.27050000000001,False
Cc1[nH]c(=O)c(C#N)c2c1CCCC2,1.4338,1,2,1,56.65,26,53.15670000000002,False
CCc1c(C#N)c(Cl)nc2ccccc12,3.322280000000001,0,2,2,36.68,24,60.84600000000003,False
Cc1nc(CO)c2ccccc2c1C,2.34394,1,2,4,33.120000000000005,27,57.13980000000003,False
COc1ccc2nc3c(c(N)c2c1)CCCC3,2.7044000000000006,1,3,3,48.14,33,69.34940000000002,False
O=c1[nH]c2ccccc2c(O)c1Cc1ccccc1,2.8245000000000005,2,2,3,53.09,32,75.48150000000003,False
Sc1nc2ccccc2c2c1CCCC2,3.402300000000002,1,2,1,12.89,28,65.63700000000003,False
O=C(Nc1cccc(F)c1)c1c(O)c2ccccc2[nH]c1=O,2.6251,3,3,3,82.19,33,80.58670000000004,False
Nc1c(O)nc2ccc(Cl)cc2c1-c1ccccc1,3.8430000000000017,2,3,3,59.14,30,78.26620000000001,False
CCN(CC)C(=O)CCc1c(C)[nH]c2ccccc2c1=O,2.6375200000000003,1,2,8,53.17,43,85.55470000000005,False
Cc1ccn(-c2c(C)nc3ccccc3c2CO)n1,2.529640000000001,1,4,5,50.94,34,74.26180000000002,False
COc1nn(C)c2nc(C)c(CCC(=O)O)c(C)c12,1.6109400000000005,1,6,8,77.24,36,70.49180000000004,False
Cc1c(Br)c(=O)n(C)c2ccccc12,2.609420000000001,0,2,2,22.0,24,61.62600000000002,False
COc1c2ccoc2nc2c(OC)c(O)ccc12,2.703800000000001,1,5,5,64.72000000000001,29,66.28380000000003,False
COC(=O)c1cccc2c1nc(Cl)c1sccc12,3.8895000000000017,0,4,2,39.19,26,73.47550000000003,False
Cc1noc2nc(C3CC3)c(Cl)c(C(=O)O)c12,2.7602200000000012,1,5,3,76.22,26,60.48530000000002,False
Cc1nc2ccccc2c2c1C(=O)N(C)C2=O,1.76902,0,3,2,50.27,27,62.90400000000002,False
CCCc1nc2c(N)nc3ccccc3c2s1.Cl,3.8010000000000024,1,4,4,51.8,32,80.57640000000002,False
COC(=O)c1cccc2c1nc(Cl)c1cscc12,3.8895000000000017,0,4,2,39.19,26,73.47550000000003,False
O=C(Nc1ccc(F)cc1)c1c(O)c2ccccc2[nH]c1=O,2.6251,3,3,3,82.19,33,80.58670000000004,False
Cc1ccc2nc(O)c(CCC(=O)O)c(C)c2c1,2.57444,2,4,6,70.42,33,68.83860000000003,False
Cc1cccc2c(Cl)c3c(nc12)CCCC3,4.075420000000003,0,1,1,12.89,30,68.13200000000003,False
COc1ccc2nc(Cl)c3c(Cl)csc3c2c1,4.764900000000002,0,3,2,22.12,24,73.69800000000002,False
CCc1nc2c(c3cc(OC)c(OC)cc13)C(=O)NC2=O,1.6979999999999995,1,5,6,77.52000000000001,35,76.02170000000002,False
Cc1[nH]c(=O)c(C#N)c(C)c1C#N,0.7351,1,3,2,80.44,20,45.96670000000001,False
O=[N+]([O-])c1c(Cl)nc2c(c1Cl)CCCC2,3.1754000000000016,0,3,1,56.03,23,57.55340000000002,False
CCCNC(=O)CCc1c(C)[nH]c2ccccc2c1=O,2.29532,2,2,7,61.96,40,80.92740000000003,False
COc1cccc2c(Cl)c(CCCl)c(C)nc12,3.986520000000003,0,2,5,22.12,30,72.46600000000002,False
Brc1c2c(nc3ccccc13)CCC2,3.4860000000000015,0,1,0,12.89,24,61.46800000000002,False
N#Cc1c(Cl)nc2c(c1-c1ccccc1F)CCCC2,4.291580000000002,0,2,1,36.68,32,75.99800000000002,False
CC(=O)CCc1c(C)[nH]c2ccccc2c1=O,2.3581200000000004,1,2,5,49.93,32,68.30770000000003,False
CCOC(=O)c1c(OC)c(=O)[nH]c2ccccc12,1.7134,1,4,5,68.39,31,67.07720000000003,False
Cc1nc(Cl)c2ccccc2c1C,3.505040000000002,0,1,2,12.89,23,56.22700000000002,False
Cc1[nH]c2ccccc2c(=S)c1C,3.514230000000002,1,1,2,15.79,24,58.606700000000025,False
Cc1nc2ccc(Br)cc2c(N)c1C(C)C,4.011320000000002,1,2,5,38.91,31,72.68140000000002,False
COc1ccc(-c2c(C#N)c(N)nc3c2CCC3)cc1,2.6997800000000014,1,4,4,71.92999999999999,35,77.37740000000002,False
CCOC(=O)c1c(O)nc2c(c1O)CCCC2,1.5482999999999998,2,5,5,79.65,32,60.16510000000003,False
O=[N+]([O-])c1c(Cl)nc2c([N+](=O)[O-])cccc2c1Cl,3.3580000000000005,0,5,2,99.17,21,65.07180000000001,False
COc1cccc2c(Cl)c(N)c(Cl)nc12,3.1324000000000005,1,3,3,48.14,23,62.7274,False
COc1ccccc1-c1c(C#N)c(N)nc(OC)c1C#N,2.09136,1,6,6,104.95,33,76.61940000000001,False
COc1ccc2[nH]c(=O)c3sccc3c2c1,2.7514000000000003,1,3,2,42.09,25,66.50370000000001,False
Cc1[nH]c2ccccc2c(=O)c1Br,2.599020000000001,1,1,1,32.86,21,57.00570000000001,False
CCc1c(C(C)C)nc2onc(C)c2c1C(=O)O,2.9152200000000015,1,5,7,76.22,34,66.96730000000002,False
Cc1ccc(-c2c(C(=O)O)c3ccccc3[nH]c2=O)cc1,3.201720000000001,2,3,3,70.16,34,81.70100000000004,False
COC(=O)Cc1c(-c2ccccc2)c2ccccc2[nH]c1=O,2.9106000000000005,1,3,4,59.16,37,85.72470000000006,False
O=c1c2ccccc2[nH]c2cc(O)cc(O)c12,2.0925,3,3,2,73.32000000000001,26,65.4043,False
CCOC(=O)c1c(O)nc(C)c(C)c1O,1.2863399999999998,2,5,7,79.65,28,52.997100000000025,False
S=c1[nH]c2ccccc2c2c1CCCC2,3.7761900000000024,1,1,0,15.79,28,65.77470000000002,False
COc1nc(N)c(C#N)c(-c2ccc(Cl)cc2)c1C#N,2.736160000000001,1,5,4,95.72,29,75.07740000000001,False
CCOC(=O)c1c(O)c2c([nH]c1=O)CCCC2,1.136,2,4,4,79.39,32,61.32600000000002,False
O=c1[nH]c2c(c3c1CCC3)CCCC2,1.7424,1,1,0,32.86,29,55.72970000000003,False
Cc1c2c(n3c(nc4ccccc43)c1C#N)N(C(C)C)CC2,3.438500000000002,0,4,4,44.330000000000005,40,88.33600000000006,False
Oc1c(Br)c(C(F)(F)F)nc2ccccc12,3.721700000000001,1,2,1,33.120000000000005,21,56.10980000000003,False
CCn1c(=O)c(C(C)=O)c(O)c2ccccc21,1.9296,1,4,5,59.3,30,65.55130000000003,False
O=C(O)c1c2c(nc3cc(Br)ccc13)CCC2,3.1842000000000015,1,3,1,50.19,27,68.42730000000002,False
COc1cccc2c3c(c(C)nc12)CCN3c1ccccc1,4.246020000000003,0,3,4,25.36,40,90.18400000000004,False
Cc1c(C(=O)O)nc2ccccc2c1-c1ccccc1,3.9084200000000022,1,3,3,50.19,33,78.87530000000002,False
O=c1c2c([nH]c3cc(Cl)ccc13)CCCC2,3.0603000000000016,1,1,0,32.86,28,66.22070000000002,False
Cc1nc2cc(Cl)ccc2c(N)c1C(C)C,3.9022200000000016,1,2,5,38.91,31,69.99140000000003,False
CC(=O)O.Cc1c(N)nc(C)c2c1[nH]c1ccccc12,3.0060400000000005,3,4,4,92.0,37,80.79590000000005,False
COc1ccc2[nH]c3cc([N+](=O)[O-])ccc3c(=O)c2c1,2.5981000000000005,1,4,3,85.22999999999999,30,75.28110000000001,False
Cc1[nH]c(=O)c(C(=O)O)c(C)c1[N+](=O)[O-],0.59814,2,5,4,113.3,23,50.1504,False
N#Cc1c2c(c(C(F)(F)F)[nH]c1=O)CCCC2,2.1441800000000004,1,2,0,56.65,26,53.421700000000016,False
COc1ccc2nc(Cl)c(F)c(Cl)c2c1,3.689300000000001,0,2,2,22.12,21,58.27300000000002,False
C=C(C)Cc1c(C)c(C#N)c2nc3ccccc3n2c1Cl,4.439600000000003,0,3,4,41.09,35,85.67800000000004,False
Fc1ccc(-c2c(F)c(F)nc(F)c2Cl)cc1,3.958400000000001,0,1,1,12.89,21,54.51500000000001,False
Cc1nc2ccccc2c(Br)c1Cl,3.9591200000000017,0,1,1,12.89,20,59.19000000000002,False
CCc1c(C)nc2ccc(N)cc2c1Cl,3.3412200000000016,1,2,4,38.91,28,65.28040000000003,False
Cc1[nH]c(=S)c(C#N)c2c1CCC2,2.4129900000000006,1,2,1,39.58,23,53.10370000000002,False
Cc1nc(S)c(C#N)c2c1CCCC2,2.4292,1,3,2,36.68,26,57.58300000000003,False
Cc1cccc2c(=O)c3ccccc3[nH]c12,2.989720000000001,1,1,1,32.86,27,66.81170000000002,False
CCOC(=O)c1nc2ccccc2c(O)c1C,2.425520000000001,1,4,5,59.42,30,64.10130000000002,False
N#Cc1c(O)c2ccccc2[nH]c1=O,1.1053799999999996,2,3,1,76.88,20,50.94850000000001,False
CCCCn1c(=O)c(C(C)=O)c(O)c2ccccc21,2.7098000000000004,1,4,7,59.3,36,74.78530000000003,False
Cc1nc2onc(C)c2c(C(=O)O)c1C(C)C,2.661240000000001,1,5,6,76.22,31,62.326300000000025,False
COc1cc(Cl)cc2c(Cl)c(N)c(Cl)nc12,3.7858,1,3,3,48.14,23,67.73740000000001,False
CCc1nc(SCC(=O)O)c(C#N)c2c1CCCC2,2.571180000000001,1,5,5,73.97999999999999,35,73.33180000000003,False
Cc1nc(Cl)c(C(N)=O)c2c1CCCC2,2.02112,1,2,2,55.98,28,59.143900000000016,False
COc1nc2ccccc2c(Cl)c1N,2.4789999999999996,1,3,3,48.14,23,57.71740000000002,False
CCCCn1nc(C)c2c(C(=O)O)c(Cl)c(C)nc21,3.199840000000001,1,5,7,68.01,35,73.87930000000003,False
CCCCc1c(C)c(C#N)c2nc3ccccc3n2c1NN,3.2958000000000007,2,5,7,79.14,41,88.57210000000005,False
CCc1nc2ccc(Br)cc2c(C(=O)O)c1C,3.566320000000002,1,3,4,50.19,29,70.51730000000002,False
CCc1nc2ccccc2c2ccccc12,3.950400000000003,0,1,2,12.89,29,68.62700000000004,False
CCCc1c(C#N)c(Cl)nc2c1COCC2,2.6318800000000007,0,3,3,45.91,29,61.31700000000003,False
Cc1[nH]c2ccc(Br)cc2c(=O)c1C,2.907440000000001,1,1,2,32.86,24,61.74270000000001,False
CCc1c(O)c2ccccc2[nH]c1=O,1.7960999999999996,2,2,3,53.09,25,55.61150000000002,False
Cc1[nH]c2c(Cl)cccc2c(=O)c1C(C)C,3.6133200000000016,1,1,4,32.86,30,68.40470000000002,False
CNCc1c2c(nc3ccc(Cl)cc13)CCC2.Cl,3.5181000000000027,1,2,3,24.92,34,78.78970000000002,False
Cc1c(Cl)c(O)nc2ccccc12,2.9022200000000007,1,2,2,33.120000000000005,21,53.154800000000016,False
CC1(C)CC(=O)c2c([nH]c3ccccc3c2=O)C1,2.683200000000001,1,2,2,49.93,33,71.00120000000003,False
COc1ccc2[nH]c3ccc([N+](=O)[O-])cc3c(=O)c2c1,2.5981000000000005,1,4,3,85.22999999999999,30,75.28110000000001,False
COc1ccc(-c2c(C#N)c(N)nc3c2CCCC3C)cc1,3.6508800000000026,1,4,5,71.92999999999999,41,86.70540000000003,False
CSc1nc2c(c(N)c1C#N)c(=O)n(C)c(=O)n2C,-0.1920200000000003,1,8,5,106.7,30,73.1334,False
O=C(Oc1ccccc1)c1c2ccccc2nc2ccccc12,4.607200000000003,0,3,2,39.19,36,90.64950000000005,False
Cc1ccc(-c2nc3ccccc3c(C(=O)O)c2C)cc1,4.216840000000003,1,3,4,50.19,36,83.61230000000003,False
CCOC(=O)c1nc(Cl)c(Cl)c(Cl)c1Cl,3.871900000000001,0,3,3,39.19,20,60.233500000000014,False
COc1cccc2c(Cl)c([N+](=O)[O-])c(Cl)nc12,3.458400000000001,0,4,3,65.26,23,64.96940000000001,False
COC(=O)c1nc(O)c2ccccc2c1O,1.4325999999999997,2,5,4,79.65,25,56.412100000000024,False
O=c1[nH]c2ccccc2c(O)c1-c1ccccc1,2.9007000000000005,2,2,2,53.09,29,71.66950000000001,False
