SMILES,Crippen_logp,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,natoms,refractivity,HAS_PYR_H,HAS_MULTIPLE_PYR,HAS_FRAGMENTS
Cl.Clc1ccc2nccc(N3CCNCC3)c2c1,2.7196000000000016,1,3,1,28.160000000000004,33,79.08370000000004,True,False,True
Cl.Cl.Nc1c[nH]c2ncccc12,1.9886999999999997,2,2,1,54.7,21,55.00210000000001,True,False,True
COc1ccccc1C(N)c1ccncc1.Cl.Cl,2.9819000000000013,1,3,5,48.14,34,77.75740000000002,True,False,True
Cc1cnccc1N1CCC(C(=O)O)CC1.Cl,2.1128200000000006,1,4,3,53.43000000000001,34,68.79480000000002,True,False,True
CC(C)(N)C(=O)NCc1ccncc1.Cl,0.8568999999999996,2,3,6,68.01,31,61.59810000000003,True,False,True
Cl.c1cncc(O[C@@H]2CCNC2)c1,1.2440999999999998,1,3,2,34.15,26,53.38770000000003,True,False,True
Cl.Cl.NCc1ccc2nccn2c1,1.6366000000000005,1,3,2,43.31999999999999,24,57.57940000000002,True,False,True
Cl.ClCc1cn2cc(Br)ccc2n1,3.2574000000000014,0,2,1,17.3,20,59.697000000000024,True,False,True
Br.Cc1cn2cc([N+](=O)[O-])ccc2n1,2.12882,0,4,2,60.44,22,56.90540000000002,True,False,True
COCCNc1cc(C)nc2ccc(C)cc12.Cl,3.331740000000002,1,3,7,34.15,37,78.83070000000002,True,False,True
Cl.NCC1CCN(S(=O)(=O)c2ccccn2)CC1,0.8627999999999998,1,4,4,76.28999999999999,36,72.02220000000004,True,False,True
Cc1cc(Nc2ccc(F)cc2)c2ccccc2n1.Cl,4.847720000000003,1,2,3,24.92,34,83.41070000000003,True,False,True
COc1ccc(C(=N)N)nc1Cl.Cl,1.4494699999999998,2,3,3,71.99,22,54.06310000000001,True,False,True
Cl.N[C@H](c1ccncc1Cl)C(F)(F)F,2.7189000000000005,1,2,2,38.91,21,49.47840000000001,True,False,True
Cl.c1cncc(CN2CCNCC2)c1,0.9086,1,3,2,28.160000000000004,30,59.63170000000003,True,False,True
Cl.Cl.NCC(Cc1ccccn1)C(=O)O,1.1272,2,4,5,76.21,29,62.61720000000002,True,False,True
CC(C)NCc1ccc(Cl)nc1.Cl,2.654800000000001,1,2,5,24.92,27,58.47070000000003,True,False,True
Cl.Cl.NCc1ccc(F)nc1,1.523,1,2,2,38.91,20,46.58240000000002,True,False,True
