SMILES,Crippen_logp,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,natoms,refractivity,HAS_PYR_H,HAS_MULTIPLE_PYR,HAS_FRAGMENTS,HAS_BAD_NITROGEN,MOL_WT,HAS_SULFONYL_HALIDE
O=S(=O)(Cl)c1cccc2cccnc12,2.1623,0,3,1,47.03,20,54.78180000000002,True,False,False,False,227.67200000000005,True
CS(=O)(=O)c1ccc(S(=O)(=O)Cl)cn1,0.4126000000000001,0,5,3,81.17,20,50.38560000000002,True,False,False,False,255.70400000000004,True
Cc1nc(-c2ccccc2)ccc1S(=O)(=O)Cl,2.9845200000000016,0,3,3,47.03,27,67.44880000000003,True,False,False,False,267.73699999999974,True
O=S(=O)(Cl)c1cncc2ccccc12,2.1623,0,3,1,47.03,20,54.78180000000002,True,False,False,False,227.67200000000005,True
COc1cccc(CS(=O)(=O)Cl)n1,1.1588,0,4,4,56.260000000000005,21,49.26580000000002,True,False,False,False,221.66500000000005,True
O=S(=O)(Cl)c1ccc(Cl)c2cccnc12,2.8157000000000005,0,3,1,47.03,20,59.79180000000001,True,False,False,False,262.1169999999999,True
O=C(O)c1nccc2c(S(=O)(=O)Cl)cccc12,1.8605,1,5,2,84.32999999999998,23,61.741100000000024,True,False,False,False,271.68099999999987,True
Cc1ccc(S(=O)(=O)Cl)c2ccncc12,2.47072,0,3,2,47.03,23,59.51880000000001,True,False,False,False,241.69900000000004,True
O=S(=O)(Cl)c1cccc2cnccc12,2.1623,0,3,1,47.03,20,54.78180000000002,True,False,False,False,227.67200000000005,True
O=S(=O)(Cl)c1cnc2ccc(Cl)cc2c1,2.8157000000000005,0,3,1,47.03,20,59.791800000000016,True,False,False,False,262.1169999999999,True
COC(=O)c1cncc(S(=O)(=O)Cl)c1,0.7957,0,5,3,73.33,20,48.61530000000002,True,False,False,False,235.64800000000005,True
