SMILES,Crippen_logp,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,natoms,refractivity,HAS_PYR_H,HAS_MULTIPLE_PYR,HAS_FRAGMENTS,HAS_BAD_NITROGEN,MOL_WT,HAS_SULFONYL_HALIDE,HAS_ACID_HALIDES,INCHI,INCHI_KEY,CID,VENDORS,Combi-Blocks_link,Sigma-Aldrich_link,TCI (Tokyo Chemical Industry)_link,Thermo Fisher Scientific_link,"VWR, Part of Avantor_link",Ambeed_link,Name,Etot (Eh),C6AA_DISPERSION,C8AA_DISPERSION,Molecular Polarizability,Dipole from Density,HOMO/LUMO Gap (eV),Repulsion Energy (Eh),Isotropic ES (Eh),AnisotropicES (Eh),AnisotropicXC (Eh),Dispersion Energy (Eh),HOMO Energy (Eh),LUMO Energy (Eh),NFOD,Molecular Dipole,HAS_5MEMBERED_HETEROCYCLE_OR_QUINOLINE,HAS_PYRADINONE
COC(=O)CC(=O)c1ccccn1,0.8274,0,4,4,56.26,22,45.2005,True,False,False,False,179.175,False,False,"InChI=1S/C9H9NO3/c1-13-9(12)6-8(11)7-4-2-3-5-10-7/h2-5H,6H2,1H3",INPIXQVBVNGVBU-UHFFFAOYSA-N,12672461,"['Combi-Blocks', 'Ambeed']",https://www.combi-blocks.com/cgi-bin/find.cgi?QC-2924,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/75418-74-5.html,INPIXQVBVNGVBU-UHFFFAOYSA-N,-38.9699734,5839.94252,137553.8823,117.884489,2.099,2.344072806,0.468901763,0.073220592,-0.000102887,0.014530663,-0.018265459,-0.3847054,-0.2985623,0.3063,1.879,False,False
O=Cc1ccnc2c1OCCC2,1.2191,0,3,1,39.19,21,43.4405,True,False,False,False,163.176,False,False,"InChI=1S/C9H9NO2/c11-6-7-3-4-10-8-2-1-5-12-9(7)8/h3-4,6H,1-2,5H2",DMVKFCOQJURWJS-UHFFFAOYSA-N,71299044,"['Sigma-Aldrich', 'Combi-Blocks']",https://www.combi-blocks.com/cgi-bin/find.cgi?QB-1585,https://www.sigmaaldrich.com/catalog/product/aldrich/ade001426?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,NONE,NONE,NONE,NONE,DMVKFCOQJURWJS-UHFFFAOYSA-N,-34.90942014,5205.67116,123045.276,111.198703,1.984,2.279745146,0.445338051,0.041902792,0.005088963,0.013778283,-0.01919589,-0.3794889,-0.2957099,0.3462,2.954,False,False
Cc1cccnc1C1=NC(C)(C)CO1,1.94542,0,3,4,34.48,28,55.542,True,False,False,False,190.246,False,False,"InChI=1S/C11H14N2O/c1-8-5-4-6-12-9(8)10-13-11(2,3)7-14-10/h4-6H,7H2,1-3H3",XCQHILUUHXSTOX-UHFFFAOYSA-N,9964316,['Combi-Blocks'],https://www.combi-blocks.com/cgi-bin/find.cgi?HF-0187,NONE,NONE,NONE,NONE,NONE,XCQHILUUHXSTOX-UHFFFAOYSA-N,-40.6222915,8160.119638,188446.008,138.898079,1.398,2.691068916,0.556647938,0.036338694,0.005483522,0.024845232,-0.025818054,-0.3668741,-0.2679792,0.237,1.432,False,False
CN(C)CCC(O)c1cccnc1,1.0667,1,3,7,36.36,29,52.3678,True,False,False,False,180.251,False,False,"InChI=1S/C10H16N2O/c1-12(2)7-5-10(13)9-4-3-6-11-8-9/h3-4,6,8,10,13H,5,7H2,1-2H3",NRSTXKLBMAVOGO-UHFFFAOYSA-N,5105901,['Combi-Blocks'],https://www.combi-blocks.com/cgi-bin/find.cgi?HE-9899,NONE,NONE,NONE,NONE,NONE,NRSTXKLBMAVOGO-UHFFFAOYSA-N,-39.46479657,7817.583685,174640.2275,135.615799,3.012,3.104279036,0.51992963,0.036795733,0.007438281,0.025675468,-0.024079266,-0.3582709,-0.2441907,0.1787,3.926,False,False
COC(=O)Cc1cccnc1Cl,1.4505,0,3,3,39.19,20,44.967,True,False,False,False,185.61,False,False,"InChI=1S/C8H8ClNO2/c1-12-7(11)5-6-3-2-4-10-8(6)9/h2-4H,5H2,1H3",HGRQGJYEMNWDFM-UHFFFAOYSA-N,19771888,"['Ambeed', 'Combi-Blocks']",https://www.combi-blocks.com/cgi-bin/find.cgi?JQ-7679,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/123222-09-3.html,HGRQGJYEMNWDFM-UHFFFAOYSA-N,-36.82479363,5723.344881,147759.4916,116.917765,3.024,3.444016998,0.403242941,0.055028319,-0.002895424,0.013526096,-0.018545638,-0.3907896,-0.2642243,0.118,3.1,False,False
COC(=O)c1ccnc2c1OCCO2,0.6394,0,5,2,57.65,23,46.5665,True,False,False,False,195.174,False,False,"InChI=1S/C9H9NO4/c1-12-9(11)6-2-3-10-8-7(6)13-4-5-14-8/h2-3H,4-5H2,1H3",JHOPTMDILRUXMP-UHFFFAOYSA-N,71299060,"['Combi-Blocks', 'Sigma-Aldrich']",https://www.combi-blocks.com/cgi-bin/find.cgi?QB-8328,https://www.sigmaaldrich.com/catalog/product/aldrich/ade001352?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,NONE,NONE,NONE,NONE,JHOPTMDILRUXMP-UHFFFAOYSA-N,-43.06661725,6306.380181,146832.7716,120.862497,3.711,2.775344858,0.443023935,0.078222949,0.005001852,0.006957298,-0.020662585,-0.3871097,-0.2851176,0.2069,4.291,False,False
CC(O)CCc1cccnc1,1.395,1,2,5,33.12,24,44.2388,True,False,False,False,151.209,False,False,"InChI=1S/C9H13NO/c1-8(11)4-5-9-3-2-6-10-7-9/h2-3,6-8,11H,4-5H2,1H3",HZECSUSPMAVEFQ-UHFFFAOYSA-N,21717161,['Combi-Blocks'],https://www.combi-blocks.com/cgi-bin/find.cgi?HF-4045,NONE,NONE,NONE,NONE,NONE,HZECSUSPMAVEFQ-UHFFFAOYSA-N,-32.8783786,5510.881083,125420.4666,114.353996,2.437,3.299727982,0.458995646,0.033516404,0.005986153,0.019238624,-0.018542516,-0.3619316,-0.2406689,0.1117,3.136,False,False
O=C(c1cncc(F)c1)C1CC1,1.8134,0,2,2,29.96,20,41.2495,True,False,False,False,165.167,False,False,"InChI=1S/C9H8FNO/c10-8-3-7(4-11-5-8)9(12)6-1-2-6/h3-6H,1-2H2",HKYVLAKNTKELJD-UHFFFAOYSA-N,61520047,['Combi-Blocks'],https://www.combi-blocks.com/cgi-bin/find.cgi?HB-4975,NONE,NONE,NONE,NONE,NONE,HKYVLAKNTKELJD-UHFFFAOYSA-N,-35.02908511,4820.859334,115153.0045,106.567635,2.31,2.355421869,0.435714033,0.042154845,0.00167221,0.01354684,-0.016407702,-0.3912245,-0.3046643,0.3034,2.947,False,False
CC(C)(C#N)c1cc(N)ccn1,1.46498,1,3,4,62.7,23,47.2884,True,False,False,False,161.208,False,False,"InChI=1S/C9H11N3/c1-9(2,6-10)8-5-7(11)3-4-12-8/h3-5H,1-2H3,(H2,11,12)",OAJWZRKXQJKDNX-UHFFFAOYSA-N,118798119,"['Combi-Blocks', 'Ambeed']",https://www.combi-blocks.com/cgi-bin/find.cgi?QM-2387,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/1446509-65-4.html,OAJWZRKXQJKDNX-UHFFFAOYSA-N,-33.61463626,5966.504064,139870.7453,119.855298,4.01,3.717537847,0.537165068,0.027069297,0.007302238,0.035222486,-0.021011131,-0.3681225,-0.2315055,0.0961,3.842,False,False
CCNc1cc(C(=O)O)ccn1,1.2116,2,4,4,62.22,22,45.36,True,False,False,False,166.18,False,False,"InChI=1S/C8H10N2O2/c1-2-9-7-5-6(8(11)12)3-4-10-7/h3-5H,2H2,1H3,(H,9,10)(H,11,12)",HFGOWYHBNSTZBF-UHFFFAOYSA-N,23454818,['Ambeed'],NONE,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/86649-58-3.html,HFGOWYHBNSTZBF-UHFFFAOYSA-N,-36.22625012,5411.151392,125176.5753,113.522541,3.442,2.585115564,0.443802965,0.064667258,0.00322535,0.014887285,-0.017594008,-0.3732127,-0.2782114,0.2727,4.426,False,False
COc1ccc(C(C)=O)nc1,1.2928,0,3,4,39.19,20,40.7935,True,False,False,False,151.165,False,False,"InChI=1S/C8H9NO2/c1-6(10)8-4-3-7(11-2)5-9-8/h3-5H,1-2H3",JCFAFZULKPYMQV-UHFFFAOYSA-N,10630686,['Combi-Blocks'],https://www.combi-blocks.com/cgi-bin/find.cgi?QY-1445,NONE,NONE,NONE,NONE,NONE,JCFAFZULKPYMQV-UHFFFAOYSA-N,-32.75857014,4545.403188,106349.8618,104.427341,4.149,2.533544602,0.406427647,0.045751333,0.001675787,0.01436207,-0.015836033,-0.3782682,-0.2851621,0.2636,4.894,False,False
COc1cccc(C(C)C)n1,2.2136,0,2,5,22.12,24,44.878,True,False,False,False,151.209,False,False,"InChI=1S/C9H13NO/c1-7(2)8-5-4-6-9(10-8)11-3/h4-7H,1-3H3",PPYRIPJLBOJUNH-UHFFFAOYSA-N,20605529,"['Ambeed', 'Combi-Blocks']",https://www.combi-blocks.com/cgi-bin/find.cgi?HG-8921,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/479412-25-4.html,PPYRIPJLBOJUNH-UHFFFAOYSA-N,-32.89907775,5522.758315,125335.2955,114.530283,0.757,3.60978944,0.452506381,0.026662348,0.004644552,0.018060588,-0.019205772,-0.3685074,-0.2358501,0.0849,0.896,False,False
CC(C)Nc1ccccn1,1.9019,1,2,4,24.92,22,42.9957,True,False,False,False,136.198,False,False,"InChI=1S/C8H12N2/c1-7(2)10-8-5-3-4-6-9-8/h3-7H,1-2H3,(H,9,10)",JQPJCPJUEYREHV-UHFFFAOYSA-N,2366450,['Sigma-Aldrich'],NONE,https://www.sigmaaldrich.com/catalog/product/aldrich/eme00318?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,NONE,NONE,NONE,NONE,JQPJCPJUEYREHV-UHFFFAOYSA-N,-29.09945643,4762.537938,108290.2933,107.314371,1.931,3.477839528,0.434008482,0.018021512,0.007530458,0.021309868,-0.017157878,-0.3542345,-0.2264262,0.1061,2.254,False,False
Cc1nc(N)ccc1-c1ccccc1,2.63922,1,2,3,38.91,26,58.8224,True,False,False,False,184.242,False,False,"InChI=1S/C12H12N2/c1-9-11(7-8-12(13)14-9)10-5-3-2-4-6-10/h2-8H,1H3,(H2,13,14)",PKUDWIKJMVKOFA-UHFFFAOYSA-N,13502855,['Ambeed'],NONE,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/84596-30-5.html,PKUDWIKJMVKOFA-UHFFFAOYSA-N,-37.65569915,8401.037265,203710.0616,146.403598,1.927,3.48262142,0.657149609,0.020318567,0.00794924,0.02631509,-0.025941847,-0.3584842,-0.2305002,0.1508,1.882,False,False
