SMILES,Crippen_logp,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,natoms,refractivity,HAS_PYR_H,HAS_MULTIPLE_PYR,HAS_FRAGMENTS,HAS_BAD_NITROGEN
c1ccc(-n2c(CN3CCNCC3)nc3cccnc32)cc1,1.8256999999999997,1,5,3,45.98,41,87.01170000000003,True,False,False,True
CCOC(=O)c1nc(Br)c2ccccn12,2.2735000000000003,0,4,3,43.599999999999994,24,58.84850000000002,True,False,False,True
CCOC(=O)c1ncn2cc(Br)ccc12,2.2735000000000003,0,4,3,43.599999999999994,24,58.84850000000003,True,False,False,True
CCOC(=O)c1cn2ccc(C)c(N)c2n1,1.40162,1,5,5,69.62,29,60.29790000000001,True,False,False,True
CC(C)(C)CC(=O)Nc1nnc2ccc(C(=O)O)cn12,1.8022,2,6,3,96.59,36,72.64800000000002,True,False,False,True
CCCSc1nc(=O)n2cc(C)ccc2n1,1.90002,0,5,5,47.260000000000005,29,65.00900000000003,True,False,False,True
CCOC(=O)c1c(C)cc2ccccn12,2.4244200000000005,0,3,4,30.71,28,58.09050000000003,True,False,False,True
Cc1nc(C=NO)c2ccccn12,1.4508199999999998,1,4,3,49.89,22,49.30950000000002,True,False,False,True
CC(CC(=O)O)Cc1nnc2ccc(Br)cn12,2.1451,1,5,5,67.49,29,65.80780000000001,True,False,False,True
Cc1ccc2nnc(CN)n2c1,0.4964199999999998,1,4,3,56.209999999999994,22,45.61540000000001,True,False,False,True
CC(C)c1noc(-c2cccnc2-n2cnc(C(=O)O)c2)n1,2.1388999999999996,1,8,6,106.93,35,75.69930000000002,True,False,False,True
Cc1nc(N=C=O)c2ccccn12,1.6100199999999998,0,4,2,46.73,20,47.71050000000002,True,False,False,True
O=C(O)c1cn2cccc([N+](=O)[O-])c2n1,0.9407,1,6,2,97.74,20,48.80570000000001,True,False,False,True
Nc1c(-c2cccc(Br)c2)nc2ccccn12,3.346000000000001,1,3,2,43.31999999999999,27,72.74040000000002,True,False,False,True
COc1ccc(Oc2nc3ccccn3c(=O)c2C=O)cc1,2.3079,0,6,5,69.9,34,79.91750000000002,True,False,False,True
Cc1ccc(-c2ccncc2)n1-c1ccc(N(C)C)cc1,3.9137200000000023,0,3,6,21.06,40,88.06400000000005,True,False,False,True
CCOC(=O)c1c(C)nc2c(Cl)cccn12,2.4728200000000005,0,4,4,43.599999999999994,27,60.89550000000002,True,False,False,True
CC1(C)OB(c2ccc(-n3cccc3)nc2)OC1(C)C,2.1715,0,4,6,36.28,39,79.28000000000004,True,False,False,True
c1ccn2cc(C3CCN3)nc2c1,1.3686999999999998,1,3,1,29.33,24,50.55270000000002,True,False,False,True
CCOC(=O)c1ccn2c(Br)cnc2c1,2.2735000000000003,0,4,3,43.6,24,58.84850000000002,True,False,False,True
CC(C)CSCCc1c(O)nc2ccccn2c1=O,2.3318000000000003,1,5,8,54.6,37,78.99380000000004,True,False,False,True
Cc1cc(C(C)O)c2nc(N3CCOCC3)cc(=O)n2c1,0.8928199999999997,1,6,5,67.07000000000001,40,79.86480000000003,True,False,False,True
Cc1ccc(-c2ccccn2)n1-c1ccccc1,3.8477200000000025,0,2,3,17.82,32,73.73700000000002,True,False,False,True
CC/N=C/c1c(NCC)nc2ccccn2c1=O,1.5651,1,5,6,58.76,34,73.76070000000003,True,False,False,True
Nc1nccc(-c2cnc3ccccn23)n1,1.3735,1,5,2,69.1,25,60.63040000000001,True,False,False,True
Cc1ccc(C)n1-c1ccc(C#N)cn1,2.3608200000000004,0,3,3,41.61,26,57.75300000000002,True,False,False,True
CCOC(=O)c1cn2ccccc2n1,1.511,0,4,3,43.6,24,51.14850000000003,True,False,False,True
CC(C)c1ccccc1-n1c(-c2cccnc2)n[nH]c1=S,4.115290000000003,1,4,5,46.5,37,86.06870000000004,True,False,False,True
O=C(O)c1ccc(=O)n(-c2cccc(F)c2)c1,1.6748,1,4,2,59.3,25,58.956300000000006,True,False,False,True
Cc1cc(C)c2c(-n3cccc3)nn(C)c2n1,2.37584,0,4,4,35.64,31,67.31000000000003,True,False,False,True
Cc1ccc(-c2cn3cc(C)ccc3n2)cc1,3.618140000000002,0,2,3,17.3,31,70.10200000000003,True,False,False,True
OB(O)c1cccc(-n2ccnc2)n1,-1.0529000000000004,2,5,4,71.17,22,51.184600000000025,True,False,False,True
Clc1ccc(-c2cc3ccccn3c2)cc1Cl,4.913100000000003,0,1,1,4.41,26,72.85300000000002,True,False,False,True
O=[N+]([O-])c1ccc2nc(-c3ccc(O)cc3)cn2c1,2.6151,1,5,3,80.67,28,68.94720000000002,True,False,False,True
