SMILES,Crippen_logp,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,natoms,refractivity,HAS_PYR_H,HAS_MULTIPLE_PYR,HAS_FRAGMENTS,HAS_BAD_NITROGEN,MOL_WT,HAS_SULFONYL_HALIDE,HAS_ACID_HALIDES
O=C(Cl)c1cccc(C(F)(F)F)c1-c1ccncc1,4.146400000000002,0,2,2,29.96,26,64.85850000000002,True,False,False,False,285.6519999999999,False,True
Cc1ccc(C)c(-c2cc(C(=O)Cl)c3ccccc3n2)c1,4.8976400000000035,0,2,4,29.96,35,86.83650000000003,True,False,False,False,295.7689999999997,False,True
O=C(Cl)c1cccc(F)c1-c1cccnc1,3.266700000000002,0,2,2,29.96,23,59.814500000000024,True,False,False,False,235.64500000000004,False,True
O=C(Cl)c1ccc(C(F)(F)F)c(-c2cccnc2)c1,4.146400000000002,0,2,2,29.96,26,64.85850000000002,True,False,False,False,285.6519999999999,False,True
O=C(Cl)c1cc(-c2ccncc2)cc(C(F)(F)F)c1,4.146400000000001,0,2,2,29.96,26,64.8585,True,False,False,False,285.6519999999999,False,True
O=C(Cl)c1ccc(C(F)(F)F)cc1-c1cccnc1,4.146400000000002,0,2,2,29.96,26,64.85850000000002,True,False,False,False,285.6519999999998,False,True
O=C(Cl)c1c(-c2ccncc2)cccc1C(F)(F)F,4.146400000000001,0,2,2,29.96,26,64.8585,True,False,False,False,285.6519999999998,False,True
O=C(Cl)c1ccc(F)cc1-c1ccncc1,3.266700000000002,0,2,2,29.96,23,59.814500000000024,True,False,False,False,235.64500000000004,False,True
CC(=O)Nc1cc(C(=O)Cl)nc2ccccc12,2.5722000000000005,1,3,3,59.06,26,66.23020000000002,True,False,False,False,248.66900000000007,False,True
Cc1cccc(-c2cc(C(=O)Cl)c3cccc(C)c3n2)c1,4.8976400000000035,0,2,4,29.96,35,86.83650000000003,True,False,False,False,295.7689999999997,False,True
O=C(Cl)c1cc(F)cc(-c2cccnc2)c1,3.266700000000002,0,2,2,29.96,23,59.814500000000024,True,False,False,False,235.64500000000004,False,True
O=C(Cl)c1cc(-c2cccnc2)ccc1F,3.266700000000001,0,2,2,29.96,23,59.81450000000002,True,False,False,False,235.64500000000004,False,True
O=C(Cl)c1ccc(Oc2ccccn2)o1,2.845900000000001,0,4,3,52.33,21,53.202500000000015,True,False,False,False,223.61500000000004,False,True
O=C(Cl)c1ccc(F)c(-c2cccnc2)c1,3.266700000000002,0,2,2,29.96,23,59.814500000000024,True,False,False,False,235.64500000000004,False,True
Cc1ccc(Oc2ncccc2C(=O)Cl)cc1,3.561320000000002,0,3,4,39.19,27,65.67350000000002,True,False,False,False,247.68100000000007,False,True
CC(=O)Nc1cc(C(=O)Cl)nc2c(C)c(Cl)ccc12,3.5340200000000017,1,3,4,59.06,29,75.97720000000002,True,False,False,False,297.14099999999985,False,True
O=C(Cl)c1cccnc1Oc1ccc(Cl)cc1,3.9063000000000017,0,3,3,39.19,24,65.94650000000001,True,False,False,False,268.0989999999999,False,True
O=C(Cl)c1ccc(-c2ccncc2)cc1F,3.266700000000001,0,2,2,29.96,23,59.81450000000002,True,False,False,False,235.64500000000004,False,True
Cc1ccc(-c2cc(C(=O)Cl)c3ccc(C)c(C)c3n2)o1,4.799060000000003,0,3,5,43.1,35,83.83950000000003,True,False,False,False,299.7569999999997,False,True
O=C(Cl)c1ccc(-c2ccncc2)c(C(F)(F)F)c1,4.146400000000001,0,2,2,29.96,26,64.8585,True,False,False,False,285.6519999999999,False,True
O=C(Cl)c1ccc(-c2cccnc2)c(C(F)(F)F)c1,4.146400000000001,0,2,2,29.96,26,64.8585,True,False,False,False,285.6519999999999,False,True
COc1ccc2nc(C(=O)Cl)cc(NC(C)=O)c2c1,2.580800000000001,1,4,5,68.28999999999999,30,72.78220000000002,True,False,False,False,278.69499999999977,False,True
Cc1ccc2c(C(=O)Cl)cc(-c3ccccc3)nc2c1C,4.8976400000000035,0,2,4,29.96,35,86.83650000000003,True,False,False,False,295.7689999999998,False,True
Cc1ccc(-c2cc(C(=O)Cl)c3ccccc3n2)cc1C,4.8976400000000035,0,2,4,29.96,35,86.83650000000003,True,False,False,False,295.7689999999998,False,True
CC(C)(C)c1cc(C(=O)Cl)cc(Cl)n1,3.411500000000002,0,2,1,29.96,25,58.130500000000026,True,False,False,False,232.11000000000007,False,True
Cc1ccc2nc(-c3ccc(C)o3)cc(C(=O)Cl)c2c1,4.490640000000002,0,3,4,43.1,32,79.10250000000002,True,False,False,False,285.7299999999998,False,True
O=C(Cl)c1c(-c2cccnc2)cccc1C(F)(F)F,4.146400000000001,0,2,2,29.96,26,64.8585,True,False,False,False,285.6519999999998,False,True
Cc1ccc(-c2cc(C(=O)Cl)c3ccccc3n2)c(C)c1,4.8976400000000035,0,2,4,29.96,35,86.83650000000003,True,False,False,False,295.7689999999998,False,True
Cc1ccccc1-c1cc(C(=O)Cl)c2cccc(C)c2n1,4.897640000000003,0,2,4,29.96,35,86.83650000000004,True,False,False,False,295.7689999999997,False,True
