SMILES,Crippen_logp,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,natoms,refractivity,HAS_PYR_H,HAS_MULTIPLE_PYR,HAS_FRAGMENTS,HAS_BAD_NITROGEN,MOL_WT,HAS_SULFONYL_HALIDE,HAS_ACID_HALIDES,HAS_PYRADINONE,INCHI,INCHI_KEY,CID,VENDORS,Combi-Blocks_link,Sigma-Aldrich_link,TCI (Tokyo Chemical Industry)_link,Thermo Fisher Scientific_link,"VWR, Part of Avantor_link",Ambeed_link
CNC(=O)c1ccc(N)cn1,0.0234,2,3,3,68.01,20,42.0396,True,False,False,False,151.169,False,False,False,"InChI=1S/C7H9N3O/c1-9-7(11)6-3-2-5(8)4-10-6/h2-4H,8H2,1H3,(H,9,11)",DGJHRTZAESSBHP-UHFFFAOYSA-N,59177171,['Combi-Blocks'],https://www.combi-blocks.com/cgi-bin/find.cgi?QY-1285,NONE,NONE,NONE,NONE,NONE
CCNCCc1ccncc1,1.2336,1,2,5,24.92,25,46.4847,True,False,False,False,150.225,False,False,False,"InChI=1S/C9H14N2/c1-2-10-6-3-9-4-7-11-8-5-9/h4-5,7-8,10H,2-3,6H2,1H3",CLCYLOJYUMTESR-UHFFFAOYSA-N,14485080,['Sigma-Aldrich'],NONE,https://www.sigmaaldrich.com/catalog/product/aldrich/otv000969?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,NONE,NONE,NONE,NONE
Cc1cccc(C(=O)OC(C)(C)C)n1,2.34532,0,3,2,39.19,29,54.1425,True,False,False,False,193.246,False,False,False,"InChI=1S/C11H15NO2/c1-8-6-5-7-9(12-8)10(13)14-11(2,3)4/h5-7H,1-4H3",BFIIPOFZJLTWMH-UHFFFAOYSA-N,58567096,['Ambeed'],NONE,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/575433-87-3.html
CCc1cc(N)c2cc(N)ccc2n1,1.9616,2,3,4,64.93,27,59.9458,True,False,False,False,187.246,False,False,False,"InChI=1S/C11H13N3/c1-2-8-6-10(13)9-5-7(12)3-4-11(9)14-8/h3-6H,2,12H2,1H3,(H2,13,14)",AISUEAAFEZCUCS-UHFFFAOYSA-N,10679144,['Combi-Blocks'],https://www.combi-blocks.com/cgi-bin/find.cgi?HB-4450,NONE,NONE,NONE,NONE,NONE
O=C(O)c1cccnc1N1CCCC1,1.38,1,4,2,53.43,26,52.6433,True,False,False,False,192.218,False,False,False,"InChI=1S/C10H12N2O2/c13-10(14)8-4-3-5-11-9(8)12-6-1-2-7-12/h3-5H,1-2,6-7H2,(H,13,14)",DTUSJCJZQJAPGD-UHFFFAOYSA-N,2794739,"['Sigma-Aldrich', 'Combi-Blocks']",https://www.combi-blocks.com/cgi-bin/find.cgi?QY-1015,https://www.sigmaaldrich.com/catalog/product/aldrich/cds018152?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,NONE,NONE,NONE,NONE
Cc1cnc(C(N)=O)c(N)c1,0.07112,2,3,3,82.0,20,41.9043,True,False,False,False,151.169,False,False,False,"InChI=1S/C7H9N3O/c1-4-2-5(8)6(7(9)11)10-3-4/h2-3H,8H2,1H3,(H2,9,11)",REXAHTHRDYOUDP-UHFFFAOYSA-N,53395566,"['Ambeed', 'Combi-Blocks']",https://www.combi-blocks.com/cgi-bin/find.cgi?QB-7093,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/1208081-47-3.html
Cc1c(N)ncc2ccccc12,2.12542,1,2,2,38.91,22,50.8924,True,False,False,False,158.204,False,False,False,"InChI=1S/C10H10N2/c1-7-9-5-3-2-4-8(9)6-12-10(7)11/h2-6H,1H3,(H2,11,12)",DWLVOLHIRQSGOK-UHFFFAOYSA-N,324771,['Ambeed'],NONE,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/7697-66-7.html
COc1nccc(C)c1C(=O)O,1.09682,1,4,4,59.42,21,42.4853,True,False,False,False,167.164,False,False,False,"InChI=1S/C8H9NO3/c1-5-3-4-9-7(12-2)6(5)8(10)11/h3-4H,1-2H3,(H,10,11)",JSJYKCPZTCZTII-UHFFFAOYSA-N,58167070,['Combi-Blocks'],https://www.combi-blocks.com/cgi-bin/find.cgi?JN-8625,NONE,NONE,NONE,NONE,NONE
NC(=O)c1cc2ccccc2nc1N,0.9159,2,3,2,82.0,23,54.6733,True,False,False,False,187.202,False,False,False,"InChI=1S/C10H9N3O/c11-9-7(10(12)14)5-6-3-1-2-4-8(6)13-9/h1-5H,(H2,11,13)(H2,12,14)",GXZOXGRLLFZVGF-UHFFFAOYSA-N,5200228,"['Combi-Blocks', 'Ambeed', 'Sigma-Aldrich']",https://www.combi-blocks.com/cgi-bin/find.cgi?QJ-5846,https://www.sigmaaldrich.com/catalog/product/aldrich/cds017529?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,NONE,NONE,NONE,https://www.ambeed.com/products/31407-28-0.html
Nc1onc2c1cnc1ccccc12,1.9582,1,4,1,64.94,21,53.7224,True,False,False,False,185.186,False,False,False,"InChI=1S/C10H7N3O/c11-10-7-5-12-8-4-2-1-3-6(8)9(7)13-14-10/h1-5H,11H2",PXSAUQMYWOPFPU-UHFFFAOYSA-N,54593501,['Ambeed'],NONE,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/1306605-49-1.html
